subject,site,vendor,field_strength,SC_CSA_t2w,SC_CSA_std_t2w,SC_CSA_min_t2w,SC_CSA_max_t2w,n_slices_t2w,n_vert_levels
sub-amu01,amu,Siemens,3T,78.43036499003503,,78.43036499003503,78.43036499003503,1,1
sub-amu02,amu,Siemens,3T,73.65779499049526,,73.65779499049526,73.65779499049526,1,1
sub-amu03,amu,Siemens,3T,71.81425282620869,,71.81425282620869,71.81425282620869,1,1
sub-amu04,amu,Siemens,3T,64.2392960783709,,64.2392960783709,64.2392960783709,1,1
sub-amu05,amu,Siemens,3T,74.61366437121491,,74.61366437121491,74.61366437121491,1,1
sub-balgrist01,balgrist,Siemens,3T,64.72658278150308,,64.72658278150308,64.72658278150308,1,1
sub-balgrist02,balgrist,Siemens,3T,72.20002319265942,,72.20002319265942,72.20002319265942,1,1
sub-balgrist03,balgrist,Siemens,3T,63.65727463210448,,63.65727463210448,63.65727463210448,1,1
sub-balgrist04,balgrist,Siemens,3T,68.09378838714862,,68.09378838714862,68.09378838714862,1,1
sub-balgrist05,balgrist,Siemens,3T,73.8869778896421,,73.8869778896421,73.8869778896421,1,1
sub-balgrist06,balgrist,Siemens,3T,71.52915978583518,,71.52915978583518,71.52915978583518,1,1
sub-barcelona01,barcelona,Siemens,3T,72.11855020550986,,72.11855020550986,72.11855020550986,1,1
sub-barcelona02,barcelona,Siemens,3T,83.67548724283388,,83.67548724283388,83.67548724283388,1,1
sub-barcelona03,barcelona,Siemens,3T,72.39164239360507,,72.39164239360507,72.39164239360507,1,1
sub-barcelona04,barcelona,Siemens,3T,82.17562492545812,,82.17562492545812,82.17562492545812,1,1
sub-barcelona05,barcelona,Siemens,3T,66.07197903530034,,66.07197903530034,66.07197903530034,1,1
sub-barcelona06,barcelona,Siemens,3T,74.12566614965084,,74.12566614965084,74.12566614965084,1,1
sub-beijingGE01,beijingGE,GE,3T,72.50725556175836,,72.50725556175836,72.50725556175836,1,1
sub-beijingGE02,beijingGE,GE,3T,66.16783767251766,,66.16783767251766,66.16783767251766,1,1
sub-beijingGE03,beijingGE,GE,3T,68.23860626289472,,68.23860626289472,68.23860626289472,1,1
sub-beijingGE04,beijingGE,GE,3T,69.30444525507473,,69.30444525507473,69.30444525507473,1,1
sub-beijingPrisma01,beijingPrisma,Siemens,3T,64.89363055181788,,64.89363055181788,64.89363055181788,1,1
sub-beijingPrisma02,beijingPrisma,Siemens,3T,64.38552647073138,,64.38552647073138,64.38552647073138,1,1
sub-beijingPrisma03,beijingPrisma,Siemens,3T,68.86823524671856,,68.86823524671856,68.86823524671856,1,1
sub-beijingPrisma04,beijingPrisma,Siemens,3T,69.56817630211835,,69.56817630211835,69.56817630211835,1,1
sub-beijingPrisma05,beijingPrisma,Siemens,3T,74.81654983084972,,74.81654983084972,74.81654983084972,1,1
sub-beijingVerio01,beijingVerio,Siemens,3T,67.33116905905732,,67.33116905905732,67.33116905905732,1,1
sub-beijingVerio02,beijingVerio,Siemens,3T,62.18963015979664,,62.18963015979664,62.18963015979664,1,1
sub-beijingVerio03,beijingVerio,Siemens,3T,65.34781966924533,,65.34781966924533,65.34781966924533,1,1
sub-beijingVerio04,beijingVerio,Siemens,3T,68.79074755614337,,68.79074755614337,68.79074755614337,1,1
sub-brnoCeitec01,brnoCeitec,Siemens,3T,74.45265640954021,,74.45265640954021,74.45265640954021,1,1
sub-brnoCeitec02,brnoCeitec,Siemens,3T,71.77965874440949,,71.77965874440949,71.77965874440949,1,1
sub-brnoCeitec03,brnoCeitec,Siemens,3T,71.19841328583254,,71.19841328583254,71.19841328583254,1,1
sub-brnoCeitec04,brnoCeitec,Siemens,3T,70.77837745254139,,70.77837745254139,70.77837745254139,1,1
sub-brnoCeitec05,brnoCeitec,Siemens,3T,80.90262120921291,,80.90262120921291,80.90262120921291,1,1
sub-brnoCeitec06,brnoCeitec,Siemens,3T,76.39073554998033,,76.39073554998033,76.39073554998033,1,1
sub-brnoUhb01,brnoUhb,Siemens,1.5T,75.4613145380809,,75.4613145380809,75.4613145380809,1,1
sub-brnoUhb02,brnoUhb,Siemens,1.5T,78.6598994003994,,78.6598994003994,78.6598994003994,1,1
sub-brnoUhb03,brnoUhb,Siemens,1.5T,70.45912300956384,,70.45912300956384,70.45912300956384,1,1
sub-brnoUhb04,brnoUhb,Siemens,1.5T,66.50707581742358,,66.50707581742358,66.50707581742358,1,1
sub-brnoUhb05,brnoUhb,Siemens,1.5T,79.67897584002462,,79.67897584002462,79.67897584002462,1,1
sub-brnoUhb06,brnoUhb,Siemens,1.5T,71.14685699238825,,71.14685699238825,71.14685699238825,1,1
sub-brnoUhb07,brnoUhb,Siemens,1.5T,64.52173246026702,,64.52173246026702,64.52173246026702,1,1
sub-brnoUhb08,brnoUhb,Siemens,1.5T,81.67355838229078,,81.67355838229078,81.67355838229078,1,1
sub-cardiff01,cardiff,Siemens,3T,76.7642573221302,,76.7642573221302,76.7642573221302,1,1
sub-cardiff02,cardiff,Siemens,3T,84.39444704095266,,84.39444704095266,84.39444704095266,1,1
sub-cardiff03,cardiff,Siemens,3T,75.7974567642396,,75.7974567642396,75.7974567642396,1,1
sub-cardiff04,cardiff,Siemens,3T,81.72480640754675,,81.72480640754675,81.72480640754675,1,1
sub-cardiff05,cardiff,Siemens,3T,74.43000657181246,,74.43000657181246,74.43000657181246,1,1
sub-cardiff06,cardiff,Siemens,3T,76.21086109443957,,76.21086109443957,76.21086109443957,1,1
sub-cmrra01,cmrra,Siemens,3T,42.03544931654356,,42.03544931654356,42.03544931654356,1,1
sub-cmrra02,cmrra,Siemens,3T,86.12386908144794,,86.12386908144794,86.12386908144794,1,1
sub-cmrra03,cmrra,Siemens,3T,69.89393980684076,,69.89393980684076,69.89393980684076,1,1
sub-cmrra04,cmrra,Siemens,3T,72.85702677603057,,72.85702677603057,72.85702677603057,1,1
sub-cmrra06,cmrra,Siemens,3T,71.42117452314636,,71.42117452314636,71.42117452314636,1,1
sub-cmrrb01,cmrrb,Siemens,3T,68.63553676265133,,68.63553676265133,68.63553676265133,1,1
sub-cmrrb02,cmrrb,Siemens,3T,72.64014998961923,,72.64014998961923,72.64014998961923,1,1
sub-cmrrb03,cmrrb,Siemens,3T,74.42555622820016,,74.42555622820016,74.42555622820016,1,1
sub-cmrrb04,cmrrb,Siemens,3T,74.78396465783955,,74.78396465783955,74.78396465783955,1,1
sub-cmrrb05,cmrrb,Siemens,3T,72.27741200100076,,72.27741200100076,72.27741200100076,1,1
sub-cmrrb06,cmrrb,Siemens,3T,81.4596415453478,,81.4596415453478,81.4596415453478,1,1
sub-cmrrb07,cmrrb,Siemens,3T,75.2340204666609,,75.2340204666609,75.2340204666609,1,1
sub-dresden01,dresden,Siemens,3T,74.17438172218083,,74.17438172218083,74.17438172218083,1,1
sub-dresden02,dresden,Siemens,3T,71.84746587953508,,71.84746587953508,71.84746587953508,1,1
sub-fslAchieva01,fslAchieva,Philips,3T,61.28209283079348,,61.28209283079348,61.28209283079348,1,1
sub-fslAchieva02,fslAchieva,Philips,3T,68.25968844620661,,68.25968844620661,68.25968844620661,1,1
sub-fslAchieva03,fslAchieva,Philips,3T,59.91606399859553,,59.91606399859553,59.91606399859553,1,1
sub-fslAchieva04,fslAchieva,Philips,3T,73.19198387493216,,73.19198387493216,73.19198387493216,1,1
sub-fslAchieva05,fslAchieva,Philips,3T,67.0160624452198,,67.0160624452198,67.0160624452198,1,1
sub-fslAchieva06,fslAchieva,Philips,3T,80.07223596133014,,80.07223596133014,80.07223596133014,1,1
sub-fslPrisma01,fslPrisma,Siemens,3T,79.48315795981242,,79.48315795981242,79.48315795981242,1,1
sub-fslPrisma02,fslPrisma,Siemens,3T,79.74558591986796,,79.74558591986796,79.74558591986796,1,1
sub-fslPrisma03,fslPrisma,Siemens,3T,83.93234615963446,,83.93234615963446,83.93234615963446,1,1
sub-fslPrisma04,fslPrisma,Siemens,3T,85.75055260477099,,85.75055260477099,85.75055260477099,1,1
sub-fslPrisma05,fslPrisma,Siemens,3T,71.88974924540216,,71.88974924540216,71.88974924540216,1,1
sub-fslPrisma06,fslPrisma,Siemens,3T,78.28728957108945,,78.28728957108945,78.28728957108945,1,1
sub-geneva01,geneva,Siemens,3T,76.95243356912769,,76.95243356912769,76.95243356912769,1,1
sub-geneva02,geneva,Siemens,3T,87.65874744871967,,87.65874744871967,87.65874744871967,1,1
sub-geneva03,geneva,Siemens,3T,82.23099407576913,,82.23099407576913,82.23099407576913,1,1
sub-geneva04,geneva,Siemens,3T,68.99062895345863,,68.99062895345863,68.99062895345863,1,1
sub-geneva05,geneva,Siemens,3T,80.16930922102253,,80.16930922102253,80.16930922102253,1,1
sub-geneva06,geneva,Siemens,3T,80.63795862600644,,80.63795862600644,80.63795862600644,1,1
sub-hamburg01,hamburg,Siemens,3T,77.69037293883868,,77.69037293883868,77.69037293883868,1,1
sub-hamburg02,hamburg,Siemens,3T,74.9174551500438,,74.9174551500438,74.9174551500438,1,1
sub-hamburg03,hamburg,Siemens,3T,80.44060152146994,,80.44060152146994,80.44060152146994,1,1
sub-hamburg04,hamburg,Siemens,3T,75.04394849583663,,75.04394849583663,75.04394849583663,1,1
sub-hamburg05,hamburg,Siemens,3T,84.87622710262792,,84.87622710262792,84.87622710262792,1,1
sub-hamburg06,hamburg,Siemens,3T,74.23137986271641,,74.23137986271641,74.23137986271641,1,1
sub-juntendo750w01,juntendo750w,GE,3T,67.35364893990747,,67.35364893990747,67.35364893990747,1,1
sub-juntendo750w02,juntendo750w,GE,3T,67.85313561086696,,67.85313561086696,67.85313561086696,1,1
sub-juntendo750w03,juntendo750w,GE,3T,77.76654208087828,,77.76654208087828,77.76654208087828,1,1
sub-juntendo750w04,juntendo750w,GE,3T,66.85450388718095,,66.85450388718095,66.85450388718095,1,1
sub-juntendo750w05,juntendo750w,GE,3T,64.56235529498525,,64.56235529498525,64.56235529498525,1,1
sub-juntendo750w06,juntendo750w,GE,3T,72.4221009564239,,72.4221009564239,72.4221009564239,1,1
sub-mgh02,mgh,Siemens,3T,64.33837698931698,,64.33837698931698,64.33837698931698,1,1
sub-mgh03,mgh,Siemens,3T,74.13030009303347,,74.13030009303347,74.13030009303347,1,1
sub-mgh04,mgh,Siemens,3T,93.56575126656789,,93.56575126656789,93.56575126656789,1,1
sub-mgh05,mgh,Siemens,3T,85.77658165543167,,85.77658165543167,85.77658165543167,1,1
sub-mgh06,mgh,Siemens,3T,75.6853718495791,,75.6853718495791,75.6853718495791,1,1
sub-milan01,milan,Siemens,3T,78.61702003782094,,78.61702003782094,78.61702003782094,1,1
sub-milan02,milan,Siemens,3T,67.50808151695452,,67.50808151695452,67.50808151695452,1,1
sub-milan03,milan,Siemens,3T,73.68454803104964,,73.68454803104964,73.68454803104964,1,1
sub-milan04,milan,Siemens,3T,66.97367042781977,,66.97367042781977,66.97367042781977,1,1
sub-milan05,milan,Siemens,3T,79.25157900729455,,79.25157900729455,79.25157900729455,1,1
sub-milan06,milan,Siemens,3T,71.21812884302139,,71.21812884302139,71.21812884302139,1,1
sub-milan07,milan,Siemens,3T,72.41241366944455,,72.41241366944455,72.41241366944455,1,1
sub-mniPilot1,mniPilot,Siemens,3T,71.49739473473578,,71.49739473473578,71.49739473473578,1,1
sub-mniS01,mniS,Siemens,3T,76.14041425008405,,76.14041425008405,76.14041425008405,1,1
sub-mniS02,mniS,Siemens,3T,71.0386781644858,,71.0386781644858,71.0386781644858,1,1
sub-mniS03,mniS,Siemens,3T,59.515017722299525,,59.515017722299525,59.515017722299525,1,1
sub-mniS04,mniS,Siemens,3T,86.44982850900271,,86.44982850900271,86.44982850900271,1,1
sub-mniS05,mniS,Siemens,3T,57.99131178360895,,57.99131178360895,57.99131178360895,1,1
sub-mniS06,mniS,Siemens,3T,93.07670110819583,,93.07670110819583,93.07670110819583,1,1
sub-mniS07,mniS,Siemens,3T,78.8944697806769,,78.8944697806769,78.8944697806769,1,1
sub-mniS08,mniS,Siemens,3T,77.99852899668842,,77.99852899668842,77.99852899668842,1,1
sub-mniS09,mniS,Siemens,3T,73.3555721499264,,73.3555721499264,73.3555721499264,1,1
sub-mountSinai01,mountSinai,Siemens,3T,73.85388129485067,,73.85388129485067,73.85388129485067,1,1
sub-mountSinai02,mountSinai,Siemens,3T,70.01686893985004,,70.01686893985004,70.01686893985004,1,1
sub-mountSinai03,mountSinai,Siemens,3T,70.81078262079542,,70.81078262079542,70.81078262079542,1,1
sub-mountSinai04,mountSinai,Siemens,3T,76.87519242184102,,76.87519242184102,76.87519242184102,1,1
sub-mountSinai05,mountSinai,Siemens,3T,72.04309189475579,,72.04309189475579,72.04309189475579,1,1
sub-mountSinai06,mountSinai,Siemens,3T,66.99727667704914,,66.99727667704914,66.99727667704914,1,1
sub-mpicbs01,mpicbs,Siemens,3T,68.3880250250803,,68.3880250250803,68.3880250250803,1,1
sub-mpicbs02,mpicbs,Siemens,3T,76.48662713572425,,76.48662713572425,76.48662713572425,1,1
sub-mpicbs03,mpicbs,Siemens,3T,92.98226053080288,,92.98226053080288,92.98226053080288,1,1
sub-mpicbs05,mpicbs,Siemens,3T,72.30089429649787,,72.30089429649787,72.30089429649787,1,1
sub-mpicbs06,mpicbs,Siemens,3T,66.5919546127763,,66.5919546127763,66.5919546127763,1,1
sub-mpicbs07,mpicbs,Siemens,3T,77.97876204199049,,77.97876204199049,77.97876204199049,1,1
sub-nottwil01,nottwil,Siemens,3T,65.5969899988196,,65.5969899988196,65.5969899988196,1,1
sub-nottwil02,nottwil,Siemens,3T,69.76640401788887,,69.76640401788887,69.76640401788887,1,1
sub-nottwil03,nottwil,Siemens,3T,69.99690053687131,,69.99690053687131,69.99690053687131,1,1
sub-nottwil04,nottwil,Siemens,3T,76.69110069873454,,76.69110069873454,76.69110069873454,1,1
sub-nottwil05,nottwil,Siemens,3T,66.54137156834095,,66.54137156834095,66.54137156834095,1,1
sub-nottwil06,nottwil,Siemens,3T,72.10274947714588,,72.10274947714588,72.10274947714588,1,1
sub-nwu01,nwu,Siemens,3T,67.18446518883519,,67.18446518883519,67.18446518883519,1,1
sub-nwu02,nwu,Siemens,3T,61.224408990711325,,61.224408990711325,61.224408990711325,1,1
sub-nwu03,nwu,Siemens,3T,63.95863995398071,,63.95863995398071,63.95863995398071,1,1
sub-nwu04,nwu,Siemens,3T,79.04309929165426,,79.04309929165426,79.04309929165426,1,1
sub-nwu05,nwu,Siemens,3T,79.22196834622179,,79.22196834622179,79.22196834622179,1,1
sub-nwu06,nwu,Siemens,3T,65.2993262471817,,65.2993262471817,65.2993262471817,1,1
sub-oxfordFmrib01,oxfordFmrib,Siemens,3T,75.65785980225503,,75.65785980225503,75.65785980225503,1,1
sub-oxfordFmrib02,oxfordFmrib,Siemens,3T,84.95172666851204,,84.95172666851204,84.95172666851204,1,1
sub-oxfordFmrib03,oxfordFmrib,Siemens,3T,81.58256718019675,,81.58256718019675,81.58256718019675,1,1
sub-oxfordFmrib04,oxfordFmrib,Siemens,3T,65.35383644137116,,65.35383644137116,65.35383644137116,1,1
sub-oxfordFmrib05,oxfordFmrib,Siemens,3T,74.41948491077616,,74.41948491077616,74.41948491077616,1,1
sub-oxfordFmrib06,oxfordFmrib,Siemens,3T,77.34891232979898,,77.34891232979898,77.34891232979898,1,1
sub-oxfordFmrib07,oxfordFmrib,Siemens,3T,82.18437073638017,,82.18437073638017,82.18437073638017,1,1
sub-oxfordFmrib08,oxfordFmrib,Siemens,3T,68.50471593362555,,68.50471593362555,68.50471593362555,1,1
sub-oxfordFmrib09,oxfordFmrib,Siemens,3T,79.9788066524724,,79.9788066524724,79.9788066524724,1,1
sub-oxfordFmrib10,oxfordFmrib,Siemens,3T,72.60240310531937,,72.60240310531937,72.60240310531937,1,1
sub-oxfordFmrib11,oxfordFmrib,Siemens,3T,74.49866272196529,,74.49866272196529,74.49866272196529,1,1
sub-oxfordOhba01,oxfordOhba,Siemens,3T,73.96714940316637,,73.96714940316637,73.96714940316637,1,1
sub-oxfordOhba02,oxfordOhba,Siemens,3T,86.54540399169555,,86.54540399169555,86.54540399169555,1,1
sub-oxfordOhba03,oxfordOhba,Siemens,3T,72.24156327029644,,72.24156327029644,72.24156327029644,1,1
sub-oxfordOhba04,oxfordOhba,Siemens,3T,65.66740464629046,,65.66740464629046,65.66740464629046,1,1
sub-oxfordOhba05,oxfordOhba,Siemens,3T,96.9039992927043,,96.9039992927043,96.9039992927043,1,1
